"Region","Type","Category","Month","month_12","month_4","month_3","month_2","new_inactive","new_active","old_active","old","new","old_inactive","active","inactive","total","sv_10","sv_20","sv_30","svo_10","svo_20","svo_30"
"Region1","holding","Computer Store","July",12,3,5,5,4,12,352,377,16,25,364,29,393,4,4,2,3,3,4
"Region1","holding","Computer Store","August",11,2,4,3,2,11,366,386,13,20,377,22,399,3,2,4,2,2,3
"Region1","holding","Computer Store","September",11,5,3,5,4,11,445,469,15,24,456,28,484,4,3,4,4,3,5
"Region1","holding","Computer Store","October",12,4,5,5,3,12,452,478,15,26,464,29,493,3,5,2,4,4,3
"Region1","holding","Computer Store","November",12,5,2,3,5,14,322,344,19,22,336,27,363,4,3,3,3,3,3
"Region1","holding","Gaming Zone","January",10,4,2,3,4,11,380,399,15,19,391,23,414,4,4,2,3,4,5
"Region1","holding","Gaming Zone","February",11,4,3,5,3,11,339,362,14,23,350,26,376,3,4,3,2,3,4
"Region1","holding","Gaming Zone","March",13,4,4,5,4,15,493,519,19,26,508,30,538,4,3,4,2,2,2
"Region1","holding","Gaming Zone","April",12,5,2,4,4,12,477,500,16,23,489,27,516,3,2,2,4,4,4
"Region1","holding","Gaming Zone","May",10,2,2,4,3,15,310,328,18,18,325,21,346,5,4,4,3,3,3
"Region1","holding","Gaming Zone","June",10,2,5,4,4,13,429,450,17,21,442,25,467,4,4,3,5,2,3
"Region1","holding","Gaming Zone","July",12,4,4,5,3,11,404,429,14,25,415,28,443,4,4,4,5,3,3
"Region1","holding","Gaming Zone","August",11,4,3,4,2,11,446,468,13,22,457,24,481,4,4,4,4,4,2
"Region1","holding","Gaming Zone","September",13,3,3,2,4,14,351,372,18,21,365,25,390,5,2,3,4,4,3
"Region1","holding","Gaming Zone","October",12,4,3,2,3,13,327,348,16,21,340,24,364,2,3,5,4,3,5
"Region1","holding","Gaming Zone","November",11,3,3,2,4,15,331,350,19,19,346,23,369,3,2,2,4,2,2
"Region1","holding","Super MArket","January",13,3,2,5,3,12,419,442,15,23,431,26,457,5,4,3,4,5,4
"Region1","holding","Super MArket","February",10,2,3,4,5,11,383,402,16,19,394,24,418,5,3,3,4,4,3
"Region1","holding","Super MArket","March",11,4,3,4,4,10,475,497,14,22,485,26,511,5,4,3,4,4,4
"Region1","holding","Super MArket","April",10,4,4,5,3,13,327,350,16,23,340,26,366,5,4,4,2,2,4
"Region1","holding","Super MArket","May",10,4,3,4,3,14,495,516,17,21,509,24,533,5,2,3,5,4,3
"Region1","holding","Super MArket","June",12,5,2,2,4,14,439,460,18,21,453,25,478,4,4,4,4,3,3
"Region1","holding","Super MArket","July",11,4,5,4,4,13,446,470,17,24,459,28,487,3,3,3,4,3,5
"Region1","holding","Super MArket","August",11,5,3,5,2,11,324,348,13,24,335,26,361,4,4,2,5,4,3
"Region1","holding","Super MArket","September",11,3,5,4,5,14,457,480,19,23,471,28,499,3,3,4,3,2,3
"Region1","holding","Super MArket","October",11,5,4,4,3,14,496,520,17,24,510,27,537,5,3,4,3,3,4
"Region1","holding","Super MArket","November",11,3,4,4,2,15,414,436,17,22,429,24,453,3,3,4,5,3,4
"Region1","holding","Fast Food Centre","January",12,4,4,4,4,10,419,443,14,24,429,28,457,4,4,4,4,4,3
"Region1","holding","Fast Food Centre","February",10,5,3,3,5,14,424,445,19,21,438,26,464,3,2,3,4,2,4
"Region1","holding","Fast Food Centre","March",10,4,4,2,4,11,469,489,15,20,480,24,504,2,3,5,3,3,3
"Region1","holding","Fast Food Centre","April",10,4,5,5,4,11,336,360,15,24,347,28,375,4,4,2,2,2,2
"Region1","holding","Fast Food Centre","May",13,4,3,2,3,15,352,374,18,22,367,25,392,3,2,2,3,2,3
"Region1","holding","Fast Food Centre","June",10,5,4,2,3,13,314,335,16,21,327,24,351,2,3,3,4,3,3
"Region1","holding","Fast Food Centre","July",12,2,3,2,3,13,311,330,16,19,324,22,346,5,4,4,3,3,4
"Region1","holding","Fast Food Centre","August",11,3,4,4,2,11,415,437,13,22,426,24,450,3,5,4,4,4,5
"Region1","holding","Fast Food Centre","September",11,4,3,3,5,15,312,333,20,21,327,26,353,3,2,4,2,4,4
"Region1","holding","Fast Food Centre","October",11,5,5,4,4,14,497,522,18,25,511,29,540,2,5,3,4,3,3
"Region1","holding","Fast Food Centre","November",11,4,4,4,4,11,423,446,15,23,434,27,461,2,4,3,2,4,5
"Region2","retail","Retail Store","January",11,5,4,2,2,10,432,454,12,22,442,24,466,5,3,4,4,5,4
"Region2","retail","Retail Store","February",13,3,4,3,3,13,448,471,16,23,461,26,487,2,3,4,5,3,4
"Region2","retail","Retail Store","March",12,5,5,3,3,11,416,441,14,25,427,28,455,3,4,4,3,3,4
"Region2","retail","Retail Store","April",11,5,5,3,5,14,483,507,19,24,497,29,526,3,3,4,5,2,5
"Region2","retail","Retail Store","May",12,5,4,3,3,15,416,440,18,24,431,27,458,3,4,3,2,5,3
"Region2","retail","Retail Store","June",10,5,3,4,4,13,412,434,17,22,425,26,451,4,3,3,4,4,2
"Region2","retail","Retail Store","July",10,3,4,4,4,12,455,476,16,21,467,25,492,4,2,4,3,3,4
"Region2","retail","Retail Store","August",12,5,3,3,3,15,313,336,18,23,328,26,354,4,3,5,2,4,5
"Region2","retail","Retail Store","September",12,2,2,3,2,11,427,446,13,19,438,21,459,3,4,4,2,2,4
"Region2","retail","Retail Store","October",12,4,4,5,3,14,422,447,17,25,436,28,464,4,4,4,2,2,3
"Region2","retail","Retail Store","November",10,3,5,2,5,12,364,384,17,20,376,25,401,2,3,4,2,3,3
"Region2","retail","Kirana Store","January",11,4,5,3,4,15,478,501,19,23,493,27,520,4,3,5,4,3,4
"Region2","retail","Kirana Store","February",12,4,3,3,2,13,436,458,15,22,449,24,473,5,2,4,4,3,4
"Region2","retail","Kirana Store","March",13,5,2,5,3,10,303,328,13,25,313,28,341,3,4,3,3,2,3
"Region2","retail","Kirana Store","April",12,4,5,4,3,10,438,463,13,25,448,28,476,4,4,5,2,5,2
"Region2","retail","Kirana Store","May",11,3,3,4,5,13,310,331,18,21,323,26,349,3,2,2,3,5,2
"Region2","retail","Kirana Store","June",11,4,5,2,3,13,414,436,16,22,427,25,452,4,4,4,4,4,3
"Region2","retail","Kirana Store","July",11,4,2,2,4,13,472,491,17,19,485,23,508,4,3,4,4,2,3
"Region2","retail","Kirana Store","August",12,4,3,4,5,14,477,500,19,23,491,28,519,3,3,5,3,5,3
"Region2","retail","Kirana Store","September",11,3,4,3,4,14,300,321,18,21,314,25,339,2,2,3,3,4,4
"Region2","retail","Kirana Store","October",10,3,3,3,4,13,307,326,17,19,320,23,343,5,4,3,5,2,2
"Region2","retail","Kirana Store","November",13,2,4,4,3,14,476,499,17,23,490,26,516,3,4,3,4,5,5
"Region2","retail","Hotels","January",13,4,4,3,4,15,309,333,19,24,324,28,352,4,5,2,2,4,3
"Region2","retail","Hotels","February",11,5,3,3,4,11,384,406,15,22,395,26,421,4,3,3,5,3,4
"Region2","retail","Hotels","March",12,2,4,2,3,15,328,348,18,20,343,23,366,5,4,3,4,4,4
"Region2","retail","Hotels","April",12,3,2,2,2,12,477,496,14,19,489,21,510,5,4,4,3,2,4
"Region2","retail","Hotels","May",10,5,4,4,2,14,436,459,16,23,450,25,475,2,4,3,4,4,4
"Region2","retail","Hotels","June",12,4,4,5,2,14,476,501,16,25,490,27,517,4,3,3,3,3,4
"Region2","retail","Hotels","July",11,3,3,4,4,12,334,355,16,21,346,25,371,2,3,3,3,3,4
"Region2","retail","Hotels","August",13,5,2,2,3,13,356,378,16,22,369,25,394,3,3,2,4,4,3
"Region2","retail","Hotels","September",12,3,3,4,4,14,371,393,18,22,385,26,411,3,3,4,4,3,4
"Region2","retail","Hotels","October",11,3,4,3,3,11,353,374,14,21,364,24,388,2,4,4,2,3,3
"Region2","retail","Hotels","November",10,4,2,2,5,11,453,471,16,18,464,23,487,3,4,5,3,4,4
"Region2","retail","Restaurants","January",13,3,2,3,5,14,374,395,19,21,388,26,414,4,4,4,3,4,3
