"Region","Type","Category","Merchant_ID","Terminal_ID","Swipe_Amount_M1","Swipe_Amount_M2","Inactivity_Band"
"Region1","retail","Kirana Store",1061463,50022571,76589.028266957,280850.094463443,"New Terminal Inactive"
"Region1","retail","Kirana Store",1052380,50097570,499035.789746325,176836.209670175,"2 Months old Terminal"
"Region1","retail","Kirana Store",1081465,50040207,433724.843089236,41779.9810129218,"> 12 Months"
"Region1","retail","Kirana Store",1033969,50035133,354946.724556386,135708.520019893,"New Terminal Inactive"
"Region1","retail","Kirana Store",1004062,50069024,468212.351112394,339786.329638679,"> 12 Months"
"Region1","retail","Kirana Store",1049765,50089419,116392.813006649,255800.410354277,"3 Months Old Terminal"
"Region1","retail","Kirana Store",1037076,50049263,82699.4097614661,226886.826388072,"2 Months old Terminal"
"Region1","retail","Kirana Store",1078927,50012471,429136.556802783,350114.923194516,"2 Months old Terminal"
"Region1","retail","Kirana Store",1031229,50097598,427585.034689168,280566.058362834,"3 Months Old Terminal"
"Region1","retail","Kirana Store",1000653,50046064,449925.216400763,96752.7996259741,"2 Months old Terminal"
"Region1","retail","Kirana Store",1067792,50073627,450243.070166325,444490.610662615,"> 12 Months"
"Region1","retail","Kirana Store",1026817,50068494,412273.469966371,424972.644053865,"3 Months Old Terminal"
"Region1","retail","Kirana Store",1046698,50090413,122391.760119703,47825.0150149688,"> 12 Months"
"Region1","retail","Kirana Store",1073081,50044279,347833.018436795,39661.6248681676,"> 12 Months"
"Region1","retail","Kirana Store",1041335,50071278,269676.073748386,443200.082767289,"> 12 Months"
"Region1","retail","Kirana Store",1005644,50065929,271966.679717414,7298.69971238077,"4 - 12  Months Old Terminal"
"Region1","retail","Kirana Store",1089537,50003570,239125.140264397,393063.594788546,"3 Months Old Terminal"
"Region1","retail","Kirana Store",1062802,50078214,209802.091601305,274846.613564994,"> 12 Months"
"Region1","retail","Kirana Store",1038251,50030696,122321.442010812,68148.7829431426,"3 Months Old Terminal"
"Region1","retail","Kirana Store",1057435,50060114,133138.528725365,468632.226505317,"> 12 Months"
"Region1","retail","Kirana Store",1016283,50011957,219189.168709563,475670.758459251,"> 12 Months"
"Region1","retail","Hotels",1099896,50048166,386927.400225075,360802.459247876,"New Terminal Inactive"
"Region1","retail","Hotels",1039059,50008699,50207.3254145216,23954.9420210533,"> 12 Months"
"Region1","retail","Hotels",1064395,50021637,344549.348569708,28063.7195191812,"> 12 Months"
"Region1","retail","Hotels",1055903,50076025,422186.503094155,409484.837507596,"> 12 Months"
"Region1","retail","Hotels",1050470,50017649,109894.224806922,161969.996094704,"3 Months Old Terminal"
"Region1","retail","Hotels",1041772,50043466,189123.691280372,301934.031242039,"New Terminal Inactive"
"Region1","retail","Hotels",1001807,50033003,339782.729456667,262599.799824646,"3 Months Old Terminal"
"Region1","retail","Hotels",1043392,50026408,422894.281265559,416075.18591336,"3 Months Old Terminal"
"Region1","retail","Hotels",1038575,50030861,430585.660611745,136489.971625386,"New Terminal Inactive"
"Region1","retail","Hotels",1056122,50076758,366875.366888475,292913.481638068,"3 Months Old Terminal"
"Region1","retail","Hotels",1094569,50000492,24183.0267200712,60844.7928784881,"New Terminal Inactive"
"Region1","retail","Hotels",1081063,50089395,233621.35634385,392559.292627964,"> 12 Months"
"Region1","retail","Hotels",1045097,50093572,347553.534173407,359483.153386973,"4 - 12  Months Old Terminal"
"Region1","retail","Hotels",1095655,50044524,264385.493342532,482919.223307399,"4 - 12  Months Old Terminal"
"Region1","retail","Hotels",1000613,50064697,246318.894311087,250912.312291795,"3 Months Old Terminal"
"Region1","retail","Hotels",1087143,50080933,422738.551291637,215581.913506612,"> 12 Months"
"Region1","retail","Hotels",1035784,50070470,20810.9151741955,276456.118373433,"4 - 12  Months Old Terminal"
"Region1","retail","Hotels",1079879,50061332,466734.709797427,64313.4178149048,"3 Months Old Terminal"
"Region1","retail","Hotels",1028503,50002149,264647.275592433,105878.967336379,"4 - 12  Months Old Terminal"
"Region1","retail","Hotels",1099322,50063139,298456.826018402,73990.8426825423,"New Terminal Inactive"
"Region1","retail","Hotels",1042991,50048260,231609.236927703,57016.7923164554,"3 Months Old Terminal"
"Region1","retail","Hotels",1048079,50051400,16227.5440758094,281001.42569351,"4 - 12  Months Old Terminal"
"Region1","retail","Hotels",1014486,50047279,210498.311050003,54422.67788155,"> 12 Months"
"Region1","retail","Hotels",1087910,50040250,276167.250285158,169577.531538904,"> 12 Months"
"Region1","retail","Hotels",1017460,50066251,277078.869091114,208227.527373936,"New Terminal Inactive"
"Region1","retail","Restaurants",1069670,50040292,489489.114481956,124652.910138248,"4 - 12  Months Old Terminal"
"Region1","retail","Restaurants",1002252,50027175,293102.57126973,260721.621366218,"New Terminal Inactive"
"Region1","retail","Restaurants",1044896,50072153,154445.6734329,280012.649335433,"3 Months Old Terminal"
"Region1","retail","Restaurants",1056563,50013012,191483.578072628,37904.7830274794,"2 Months old Terminal"
"Region1","retail","Restaurants",1094930,50059418,331066.842478234,242713.455746649,"2 Months old Terminal"
"Region1","retail","Restaurants",1034945,50078576,152576.507579768,30524.9632613268,"4 - 12  Months Old Terminal"
"Region1","retail","Restaurants",1009153,50045554,312758.196355077,305911.848763702,"New Terminal Inactive"
"Region1","retail","Restaurants",1090097,50095884,475253.8524759,306876.152748009,"New Terminal Inactive"
"Region1","retail","Restaurants",1066352,50003301,213439.916876378,297093.055271311,"2 Months old Terminal"
"Region1","retail","Restaurants",1075936,50011090,463280.550969066,222894.901017658,"New Terminal Inactive"
"Region1","retail","Restaurants",1093913,50085537,169390.961988363,499199.148815125,"4 - 12  Months Old Terminal"
"Region1","retail","Restaurants",1055962,50079774,75570.164028788,297796.775832074,"4 - 12  Months Old Terminal"
"Region1","retail","Airline",1000295,50032293,381349.915329833,32739.4211918581,"3 Months Old Terminal"
"Region1","retail","Airline",1016707,50019060,323457.959742984,265401.267594192,"4 - 12  Months Old Terminal"
"Region1","retail","Airline",1076659,50012950,297366.514853667,366725.989999948,"New Terminal Inactive"
"Region1","retail","Airline",1070578,50015171,102737.544465344,131179.50470373,"New Terminal Inactive"
"Region1","retail","Airline",1083065,50079311,320745.798288379,284655.657532159,"2 Months old Terminal"
"Region1","retail","Airline",1099677,50098333,322597.070385236,369473.050146131,"3 Months Old Terminal"
"Region1","retail","Airline",1068934,50061724,4954.01348290034,458687.475047307,"2 Months old Terminal"
"Region1","retail","Airline",1021606,50060917,254619.692523265,136216.688048327,"New Terminal Inactive"
"Region1","retail","Airline",1076062,50058551,447503.227625974,168435.457574669,"3 Months Old Terminal"
"Region1","retail","Airline",1009323,50037460,140264.86533694,266743.055499392,"2 Months old Terminal"
"Region1","retail","Airline",1082111,50083558,92218.7255171593,90478.8551696111,"3 Months Old Terminal"
"Region1","retail","Airline",1053949,50042472,127381.737940712,291712.241542991,"2 Months old Terminal"
"Region1","retail","Airline",1065208,50081633,8482.90351289324,28352.5457179639,"> 12 Months"
"Region1","retail","Airline",1047936,50003972,496826.501349453,407796.215945389,"3 Months Old Terminal"
"Region1","retail","Airline",1003330,50048049,184226.455869852,382895.426764153,"3 Months Old Terminal"
"Region1","retail","Airline",1043386,50001219,58150.2281350549,173079.406317789,"4 - 12  Months Old Terminal"
"Region1","retail","Airline",1020739,50083186,92699.4992061518,51788.0066649523,"New Terminal Inactive"
"Region1","retail","Airline",1083013,50008159,343876.228283159,99420.2160439454,"New Terminal Inactive"
"Region1","retail","Airline",1048314,50042992,448027.798630763,33969.2206634209,"4 - 12  Months Old Terminal"
"Region1","retail","Airline",1090809,50085731,204862.196834292,132141.613424057,"3 Months Old Terminal"
"Region1","retail","Airline",1060428,50051583,454424.305608962,402263.709140476,"> 12 Months"
"Region1","retail","Hardware Store",1076080,50092121,418452.341591008,159843.639982631,"New Terminal Inactive"
"Region1","retail","Hardware Store",1097539,50067584,142889.704325935,214846.788092516,"> 12 Months"
"Region1","retail","Hardware Store",1001629,50060378,31791.2960404065,457463.181266794,"4 - 12  Months Old Terminal"
"Region1","retail","Hardware Store",1042657,50033703,200094.209369738,288845.570117002,"4 - 12  Months Old Terminal"
"Region1","retail","Hardware Store",1002215,50055902,232374.99814108,483594.665915007,"2 Months old Terminal"
"Region1","retail","Hardware Store",1039303,50051984,474394.83067207,464178.974469192,"3 Months Old Terminal"
"Region1","retail","Hardware Store",1004675,50028046,370907.319520367,272764.579313109,"> 12 Months"
"Region1","retail","Hardware Store",1094572,50028038,86008.172938833,436141.214159084,"> 12 Months"
"Region1","retail","Hardware Store",1015275,50001567,227754.398392746,221371.096787741,"3 Months Old Terminal"
"Region1","retail","Hardware Store",1058858,50003775,106236.524356296,169723.718577297,"2 Months old Terminal"
"Region1","retail","Hardware Store",1002401,50034711,466321.260970086,206317.543566227,"New Terminal Inactive"
"Region1","retail","Hardware Store",1005767,50010428,39382.8227554914,215287.056956673,"New Terminal Inactive"
"Region1","retail","Hardware Store",1067106,50064332,149193.353061099,163110.944018466,"New Terminal Inactive"
"Region1","retail","Hardware Store",1081062,50085820,260405.868323985,187739.489801228,"4 - 12  Months Old Terminal"
"Region1","retail","Hardware Store",1060874,50076483,141841.043351218,441629.58020065,"2 Months old Terminal"
"Region1","retail","Hardware Store",1070742,50053861,368090.198966675,396586.602469208,"2 Months old Terminal"
"Region1","retail","Hardware Store",1045104,50029790,70381.1716593336,188036.890501389,"2 Months old Terminal"
"Region1","retail","Hardware Store",1096911,50061402,305485.725009115,206920.008082176,"2 Months old Terminal"
"Region1","retail","Hardware Store",1048483,50099088,74680.0117362291,447090.289804153,"4 - 12  Months Old Terminal"
"Region1","retail","Hardware Store",1010942,50004243,75157.5111018028,39595.2655477449,"> 12 Months"
"Region1","retail","Hardware Store",1054570,50028664,64659.000110114,348222.773086047,"2 Months old Terminal"
"Region1","retail","Hardware Store",1043094,50068915,341191.477252636,70416.3044460583,"4 - 12  Months Old Terminal"
"Region1","retail","Hardware Store",1094288,50030335,59120.6710129045,471367.909372784,"3 Months Old Terminal"
"Region1","retail","Hardware Store",1027947,50077028,447810.255966382,461279.632826336,"3 Months Old Terminal"
"Region1","retail","Hardware Store",1076743,50000802,203853.397877421,89626.6467727255,"New Terminal Inactive"
"Region1","retail","Computer Store",1012016,50000234,421629.666071385,391943.495450309,"New Terminal Inactive"
"Region1","retail","Computer Store",1039222,50016515,225998.569537187,425306.032803841,"> 12 Months"
"Region1","retail","Computer Store",1067121,50051202,171919.876354048,331046.127545647,"> 12 Months"
"Region1","retail","Computer Store",1001247,50080026,470142.474971479,407600.069207139,"2 Months old Terminal"
"Region1","retail","Computer Store",1067733,50022459,141220.35528603,177762.920959387,"New Terminal Inactive"
"Region1","retail","Computer Store",1008127,50043904,382304.165488807,341230.923037045,"4 - 12  Months Old Terminal"
"Region1","retail","Computer Store",1016020,50010622,282242.96047166,33449.5170556474,"2 Months old Terminal"
"Region1","retail","Computer Store",1037634,50045029,166753.048849059,116040.215031477,"4 - 12  Months Old Terminal"
"Region1","retail","Computer Store",1058123,50043133,178213.997312589,380252.343281172,"> 12 Months"
"Region1","retail","Computer Store",1023591,50090977,411893.08768604,189167.690869188,"3 Months Old Terminal"
"Region1","retail","Computer Store",1053804,50032674,441899.482763372,328244.298045291,"> 12 Months"
"Region1","retail","Computer Store",1078706,50063917,185108.395044692,35912.860132521,"2 Months old Terminal"
"Region1","retail","Computer Store",1074395,50096259,421870.193453971,59971.2858733255,"4 - 12  Months Old Terminal"
"Region1","retail","Computer Store",1039676,50088643,418033.836053917,207092.257327866,"New Terminal Inactive"
"Region1","retail","Computer Store",1004142,50039954,14337.2644141782,110098.422427895,"4 - 12  Months Old Terminal"
"Region1","retail","Computer Store",1067154,50096495,161610.921679996,70356.7745015025,"New Terminal Inactive"
"Region1","retail","Computer Store",1022500,50034784,23444.7535767686,433521.800785093,"4 - 12  Months Old Terminal"
"Region1","retail","Computer Store",1025928,50086816,362906.416863203,465417.468556203,"2 Months old Terminal"
"Region1","retail","Computer Store",1017732,50054527,65196.9491376076,303624.904653756,"3 Months Old Terminal"
"Region1","retail","Computer Store",1033373,50080792,212040.683202446,245700.420487439,"2 Months old Terminal"
"Region1","retail","Computer Store",1004140,50028686,464243.842546828,326002.87346472,"New Terminal Inactive"
"Region1","retail","Computer Store",1007696,50040729,20197.5685318466,204982.849797001,"> 12 Months"
"Region1","retail","Computer Store",1044781,50042744,432418.510820717,9723.31965644844,"> 12 Months"
"Region1","retail","Computer Store",1036686,50068569,213811.586836586,307955.898156157,"> 12 Months"
"Region1","retail","Computer Store",1074614,50002828,71765.9701216035,433291.565025924,"3 Months Old Terminal"
"Region1","retail","Computer Store",1066710,50012993,69593.8298357651,397361.991669983,"3 Months Old Terminal"
"Region1","retail","Gaming Zone",1067617,50007516,90537.8378892783,279211.375321262,"New Terminal Inactive"
"Region1","retail","Gaming Zone",1053082,50029047,75100.5387306213,355483.573695412,"New Terminal Inactive"
"Region1","retail","Gaming Zone",1074084,50060868,363013.803932816,280823.049010243,"2 Months old Terminal"
"Region1","retail","Gaming Zone",1001204,50030364,163388.820280787,75576.1009964626,"4 - 12  Months Old Terminal"
"Region1","retail","Gaming Zone",1023279,50036549,30295.9737724159,479970.222018426,"> 12 Months"
"Region1","retail","Gaming Zone",1003509,50074655,87359.2257120181,137799.822032684,"New Terminal Inactive"
"Region1","retail","Gaming Zone",1042363,50038162,196158.851361601,415701.797905378,"2 Months old Terminal"
"Region1","retail","Gaming Zone",1039541,50056221,288414.936993271,27628.5998225212,"New Terminal Inactive"
"Region1","retail","Gaming Zone",1058421,50095398,450674.443993485,133104.472336592,"New Terminal Inactive"
"Region1","retail","Gaming Zone",1056884,50002856,453662.217132049,407067.814141978,"3 Months Old Terminal"
"Region1","retail","Gaming Zone",1088460,50072113,452844.546390232,346491.723253857,"4 - 12  Months Old Terminal"
"Region1","retail","Gaming Zone",1021460,50093813,290812.616439303,295607.470343122,"4 - 12  Months Old Terminal"
"Region1","retail","Super MArket",1064927,50079298,48185.3637034073,118086.375446059,"> 12 Months"
"Region1","retail","Super MArket",1074731,50007840,338459.25987279,113420.761735179,"New Terminal Inactive"
"Region1","retail","Super MArket",1027778,50008319,184731.69846111,163963.240360143,"4 - 12  Months Old Terminal"
"Region1","retail","Super MArket",1038821,50019790,73780.6422510184,353406.671022065,"2 Months old Terminal"
"Region1","retail","Super MArket",1082378,50034208,481954.520678613,152080.114780227,"3 Months Old Terminal"
"Region1","retail","Super MArket",1049978,50077843,194516.880345065,51392.3438615166,"4 - 12  Months Old Terminal"
"Region1","retail","Super MArket",1040601,50088538,129064.078277675,436119.436020264,"4 - 12  Months Old Terminal"
"Region1","retail","Super MArket",1023702,50045898,276570.436186856,462246.428888291,"4 - 12  Months Old Terminal"
"Region1","retail","Super MArket",1033446,50078074,29018.600334879,435664.615417598,"3 Months Old Terminal"
"Region1","retail","Super MArket",1030982,50075242,151947.785873665,40133.2332056481,"New Terminal Inactive"
"Region1","retail","Super MArket",1003909,50023102,351662.440001499,240933.201151202,"New Terminal Inactive"
"Region1","retail","Super MArket",1070060,50051051,417751.160898944,335524.567895569,"4 - 12  Months Old Terminal"
"Region1","retail","Super MArket",1095692,50000283,16133.1300199963,93720.653827535,"New Terminal Inactive"
"Region1","retail","Super MArket",1077953,50091767,300142.993689515,52972.7022619918,"4 - 12  Months Old Terminal"
"Region1","retail","Fast Food Centre",1057431,50008172,34643.7442479655,322971.567307599,"4 - 12  Months Old Terminal"
"Region1","retail","Fast Food Centre",1022131,50093138,235472.163721919,477753.75408656,"New Terminal Inactive"
"Region1","retail","Fast Food Centre",1002890,50099148,127611.107096542,161449.319886975,"2 Months old Terminal"
"Region1","retail","Fast Food Centre",1016765,50028758,446223.018316086,412994.013324147,"4 - 12  Months Old Terminal"
"Region1","retail","Fast Food Centre",1030998,50007088,242542.915522819,13168.7511214986,"New Terminal Inactive"
"Region1","retail","Fast Food Centre",1083916,50017357,62781.495817937,10364.1547160223,"> 12 Months"
"Region1","retail","Fast Food Centre",1038353,50000736,260623.29550297,415323.708206881,"4 - 12  Months Old Terminal"
"Region1","retail","Fast Food Centre",1065930,50020624,83419.5394315757,475535.422766581,"2 Months old Terminal"
"Region1","retail","Fast Food Centre",1098510,50092419,41018.2805345394,31653.2282733824,"New Terminal Inactive"
"Region1","retail","Fast Food Centre",1013915,50068140,301710.336492397,199515.488211531,"3 Months Old Terminal"
"Region1","retail","Fast Food Centre",1096730,50051517,496031.213714043,11421.8535223044,"New Terminal Inactive"
"Region1","retail","Fast Food Centre",1047805,50028524,457176.407768857,337580.588194076,"4 - 12  Months Old Terminal"
"Region1","retail","Fast Food Centre",1044146,50056257,236879.662817577,162932.071141433,"> 12 Months"
"Region1","holding","Retail Store",1080043,50021565,487311.178055825,388857.382678194,"New Terminal Inactive"
"Region1","holding","Retail Store",1056996,50073022,340505.715481006,249104.987826897,"> 12 Months"
"Region1","holding","Retail Store",1094138,50095349,385284.766035387,238282.707046717,"> 12 Months"
"Region1","holding","Retail Store",1009080,50057652,471495.390091324,189964.809839148,"3 Months Old Terminal"
"Region1","holding","Retail Store",1019534,50064662,45356.3062644098,133516.438831342,"New Terminal Inactive"
"Region1","holding","Retail Store",1090485,50063212,474235.077455407,204799.296637066,"> 12 Months"
"Region1","holding","Retail Store",1036122,50024100,261093.760326738,18441.7160700541,"3 Months Old Terminal"
"Region1","holding","Retail Store",1042897,50048584,145565.816632239,446604.235840496,"New Terminal Inactive"
"Region1","holding","Retail Store",1026560,50048717,362259.090436623,367733.929759357,"4 - 12  Months Old Terminal"
"Region1","holding","Retail Store",1060476,50088149,192323.016423034,173128.157586791,"2 Months old Terminal"
"Region1","holding","Retail Store",1062807,50089503,352548.186491476,305735.623256303,"> 12 Months"
"Region1","holding","Retail Store",1071334,50062411,67635.9487492591,79625.814310275,"New Terminal Inactive"
"Region1","holding","Retail Store",1059550,50011680,319015.880051069,336973.041857826,"New Terminal Inactive"
"Region1","holding","Retail Store",1051139,50006797,268555.24284835,121581.473500235,"> 12 Months"
"Region1","holding","Retail Store",1032690,50010788,164260.490628425,35302.9171850067,"4 - 12  Months Old Terminal"
"Region1","holding","Retail Store",1096446,50031818,124005.066457437,297031.185763888,"3 Months Old Terminal"
"Region1","holding","Retail Store",1022512,50040635,78967.5607434474,50203.2634066418,"2 Months old Terminal"
"Region1","holding","Retail Store",1066703,50044081,316809.971858514,438633.471978828,"New Terminal Inactive"
"Region1","holding","Retail Store",1029932,50045915,19925.8322045207,395241.121692816,"3 Months Old Terminal"
"Region1","holding","Retail Store",1021080,50067733,344149.456431856,390607.805012027,"> 12 Months"
"Region1","holding","Retail Store",1032242,50003933,363035.276926355,231581.952519249,"2 Months old Terminal"
"Region1","holding","Kirana Store",1061817,50010816,240839.373316849,91079.0102090687,"3 Months Old Terminal"
"Region1","holding","Kirana Store",1054259,50043669,375119.010822615,473189.067437546,"> 12 Months"
"Region1","holding","Kirana Store",1038239,50021618,216356.414696435,278221.820998937,"New Terminal Inactive"
"Region1","holding","Kirana Store",1077665,50003165,347260.840486735,447820.219879737,"4 - 12  Months Old Terminal"
"Region1","holding","Kirana Store",1057820,50041248,368163.772652857,410802.634189604,"3 Months Old Terminal"
"Region1","holding","Kirana Store",1089344,50013610,221386.658155592,264098.903718637,"4 - 12  Months Old Terminal"
"Region1","holding","Kirana Store",1002980,50053024,61408.9835900813,64976.6489411704,"New Terminal Inactive"
"Region1","holding","Kirana Store",1004755,50030623,92391.014569439,366156.740495702,"4 - 12  Months Old Terminal"
"Region1","holding","Kirana Store",1089178,50026208,203112.209132873,307616.72379612,"> 12 Months"
"Region1","holding","Kirana Store",1075134,50058605,477517.986715771,398208.360764198,"4 - 12  Months Old Terminal"
"Region1","holding","Kirana Store",1057652,50025620,283425.259457435,451271.176939132,"4 - 12  Months Old Terminal"
"Region1","holding","Kirana Store",1060330,50054953,379989.867771743,198722.888793796,"> 12 Months"
"Region1","holding","Kirana Store",1021320,50028886,380476.810787804,434620.621534064,"> 12 Months"
"Region1","holding","Kirana Store",1029510,50021445,210830.799060175,296422.472423408,"3 Months Old Terminal"
"Region1","holding","Kirana Store",1007078,50094595,493216.433648951,468311.424853513,"2 Months old Terminal"
"Region1","holding","Kirana Store",1069314,50089676,462466.805226402,104468.785230303,"4 - 12  Months Old Terminal"
"Region1","holding","Kirana Store",1011236,50017882,8728.59256039374,378612.688684138,"3 Months Old Terminal"
"Region1","holding","Kirana Store",1057234,50060120,185980.415782891,279689.999222988,"4 - 12  Months Old Terminal"
"Region1","holding","Kirana Store",1031570,50096814,197034.510005498,424359.637503279,"New Terminal Inactive"
"Region1","holding","Kirana Store",1019062,50077681,396263.160853647,200813.297704095,"> 12 Months"
"Region1","holding","Kirana Store",1054697,50098819,305039.672849234,48058.9240891859,"> 12 Months"
"Region1","holding","Kirana Store",1093764,50022358,229309.765082318,281022.675237851,"> 12 Months"
"Region1","holding","Hotels",1052654,50039714,90763.646553969,399047.563167987,"New Terminal Inactive"
"Region1","holding","Hotels",1019358,50051077,21515.3929858934,365675.009481376,"3 Months Old Terminal"
"Region1","holding","Hotels",1089104,50018226,267581.647728337,101898.746491875,"3 Months Old Terminal"
"Region1","holding","Hotels",1053128,50015616,454434.604985407,71526.6408710741,"4 - 12  Months Old Terminal"
"Region1","holding","Hotels",1001120,50006878,92715.2000127826,156121.894201031,"3 Months Old Terminal"
"Region1","holding","Hotels",1087805,50001948,265244.041170226,265396.137404256,"3 Months Old Terminal"
"Region1","holding","Hotels",1025971,50023642,266133.529363899,345734.166248003,"4 - 12  Months Old Terminal"
"Region1","holding","Hotels",1018766,50082983,154257.171179866,226183.970694896,"2 Months old Terminal"
"Region1","holding","Hotels",1092703,50098065,408338.603291893,104860.293336678,"2 Months old Terminal"
"Region1","holding","Hotels",1064099,50006037,39535.4531384073,181310.956107453,"2 Months old Terminal"
"Region1","holding","Hotels",1022346,50016788,74712.1606487781,355742.140868912,"2 Months old Terminal"
"Region1","holding","Hotels",1059303,50098937,92655.6313030887,177549.923536368,"> 12 Months"
"Region1","holding","Hotels",1075857,50032960,248125.490107108,18661.642963998,"New Terminal Inactive"
"Region1","holding","Hotels",1011938,50087028,199268.795899116,354815.043664072,"New Terminal Inactive"
"Region1","holding","Hotels",1029194,50053025,376117.939596763,68768.2500800584,"> 12 Months"
"Region1","holding","Hotels",1010128,50037333,114180.000106571,153431.438330794,"New Terminal Inactive"
"Region1","holding","Hotels",1040930,50092885,69624.944818439,497521.763009951,"New Terminal Inactive"
"Region1","holding","Hotels",1007113,50085433,411163.247638149,310155.432202853,"2 Months old Terminal"
"Region1","holding","Hotels",1033686,50079716,93519.0333360806,227803.792468738,"New Terminal Inactive"
"Region1","holding","Hotels",1045866,50057253,66398.0305849109,119269.720974844,"2 Months old Terminal"
"Region1","holding","Hotels",1094661,50076526,296393.168640556,309955.526750535,"3 Months Old Terminal"
"Region1","holding","Hotels",1011561,50004226,300480.098106898,380415.85903056,"3 Months Old Terminal"
"Region1","holding","Hotels",1016812,50051088,99528.7662991323,285197.310886811,"New Terminal Inactive"
"Region1","holding","Hotels",1032976,50020315,140627.887199866,139677.576388931,"New Terminal Inactive"
"Region1","holding","Restaurants",1051419,50058181,370536.573790479,473109.266797313,"2 Months old Terminal"
"Region1","holding","Restaurants",1016112,50090243,295476.773159578,305443.711699685,"2 Months old Terminal"
"Region1","holding","Restaurants",1035870,50036634,157426.731408108,74229.3926959392,"2 Months old Terminal"
"Region1","holding","Restaurants",1067663,50072697,395096.933084074,319807.743625483,"4 - 12  Months Old Terminal"
"Region1","holding","Restaurants",1004118,50072994,256618.576479843,51997.4784275983,"2 Months old Terminal"
"Region1","holding","Restaurants",1051981,50095664,16342.5107134972,25381.1049684882,"4 - 12  Months Old Terminal"
"Region1","holding","Restaurants",1034533,50022438,494943.946596235,87979.8779049888,"New Terminal Inactive"
"Region1","holding","Restaurants",1080536,50057677,226852.050009184,359112.88822908,"4 - 12  Months Old Terminal"
"Region1","holding","Restaurants",1082192,50094148,20341.1927896086,412772.684289375,"New Terminal Inactive"
"Region1","holding","Restaurants",1095950,50078979,391969.540762948,235202.585976338,"New Terminal Inactive"
"Region1","holding","Restaurants",1056913,50037297,323749.483069638,11591.8720946647,"4 - 12  Months Old Terminal"
"Region1","holding","Restaurants",1066446,50067218,346602.300057886,128326.944945147,"2 Months old Terminal"
"Region1","holding","Restaurants",1072128,50083436,41645.6576110795,223926.992499502,"2 Months old Terminal"
"Region1","holding","Restaurants",1069146,50020961,470686.823371099,468433.568248991,"> 12 Months"
"Region1","holding","Restaurants",1079046,50019657,94985.1226399187,46847.4019751884,"4 - 12  Months Old Terminal"
"Region1","holding","Restaurants",1057431,50093150,418322.415081551,278225.299099693,"4 - 12  Months Old Terminal"
"Region1","holding","Airline",1008578,50039014,20144.2530439235,358536.090400303,"> 12 Months"
"Region1","holding","Airline",1082414,50095376,391597.881332971,341191.816765815,"2 Months old Terminal"
"Region1","holding","Airline",1087148,50066593,479279.688431881,88181.8222878501,"> 12 Months"
"Region1","holding","Airline",1098100,50032105,166499.594739405,91933.5685833357,"New Terminal Inactive"
"Region1","holding","Airline",1036628,50087674,252318.352429662,292695.229513803,"3 Months Old Terminal"
