"MDR","Region","Type","Category","Month","N_Merchant","N_EDC","A_Merchant","A_EDC","Tranasaction","Value","Inactive_Terminal","Active_Terminal"
347270.338702947,"Region1","retail","Super MArket","August",2,7,0,4,17161,1624110,147,1806
146812.322363257,"Region1","retail","Super MArket","September",1,7,0,0,11160,1859171,177,1636
338474.157173187,"Region1","retail","Super MArket","October",1,8,1,4,14866,1008191,149,1077
374353.476590477,"Region1","retail","Super MArket","November",0,0,1,1,15016,1310177,185,1247
146436.45749893,"Region1","retail","Fast Food Centre","January",0,0,0,0,16432,1644555,186,1279
388731.419877149,"Region1","retail","Fast Food Centre","February",1,6,0,2,16108,1187751,108,1634
275314.265117049,"Region1","retail","Fast Food Centre","March",1,6,0,0,19889,1450702,156,1283
187633.41344893,"Region1","retail","Fast Food Centre","April",1,7,1,0,13431,1852981,159,1111
375198.879605159,"Region1","retail","Fast Food Centre","May",0,0,0,3,13976,1153618,161,1407
125004.984764382,"Region1","retail","Fast Food Centre","June",1,5,0,1,18167,1763839,193,1653
213559.657870792,"Region1","retail","Fast Food Centre","July",1,7,0,5,11137,1555711,176,1046
284343.304298818,"Region1","retail","Fast Food Centre","August",0,0,0,4,18045,1882964,185,1000
344845.327269286,"Region1","retail","Fast Food Centre","September",2,12,0,1,16273,1064102,129,1173
318139.117350802,"Region1","retail","Fast Food Centre","October",1,4,0,0,11359,1988946,183,1194
380285.239941441,"Region1","retail","Fast Food Centre","November",0,0,0,0,13857,1844024,110,1825
158358.226553537,"Region1","holding","Retail Store","January",1,6,0,0,14305,1154733,170,1393
148213.645466603,"Region1","holding","Retail Store","February",1,6,0,0,13312,1600431,132,1234
368100.471282378,"Region1","holding","Retail Store","March",1,3,1,0,14089,1768338,109,1047
282909.496012144,"Region1","holding","Retail Store","April",1,6,1,4,11857,1387567,119,1433
147800.592822023,"Region1","holding","Retail Store","May",2,10,1,4,12464,1945967,141,1346
306545.023084618,"Region1","holding","Retail Store","June",2,15,0,3,11626,1392623,132,1210
194643.434672616,"Region1","holding","Retail Store","July",1,7,0,2,16013,1824424,186,1835
342742.679081857,"Region1","holding","Retail Store","August",0,0,0,3,12852,1318754,148,1787
258732.831873931,"Region1","holding","Retail Store","September",1,8,1,5,18642,1074468,175,1715
165687.143639661,"Region1","holding","Retail Store","October",2,8,0,1,15207,1414953,145,1473
256786.051462404,"Region1","holding","Retail Store","November",1,4,0,0,15555,1409052,110,1785
252436.814201064,"Region1","holding","Kirana Store","January",2,9,0,0,13518,1842976,144,1503
320738.536282443,"Region1","holding","Kirana Store","February",1,5,0,3,12482,1227202,196,1499
293069.389648736,"Region1","holding","Kirana Store","March",2,14,0,0,18138,1949771,142,1257
116048.407554626,"Region1","holding","Kirana Store","April",1,7,0,0,17017,1588315,145,1248
281598.015944473,"Region1","holding","Kirana Store","May",1,4,0,0,11569,1148598,135,1267
218667.503260076,"Region1","holding","Kirana Store","June",1,7,0,1,14521,1545764,153,1001
115377.115947194,"Region1","holding","Kirana Store","July",1,5,0,1,13947,1704643,158,1045
154417.168209329,"Region1","holding","Kirana Store","August",1,5,1,0,13637,1215068,130,1400
189418.147015385,"Region1","holding","Kirana Store","September",1,7,0,0,13730,1989228,187,1885
307488.798140548,"Region1","holding","Kirana Store","October",1,3,0,2,10838,1833351,101,1670
317265.222710557,"Region1","holding","Kirana Store","November",0,0,0,2,13579,1053149,195,1560
296752.984006889,"Region1","holding","Hotels","January",1,4,0,5,13078,1577802,146,1906
175727.866729721,"Region1","holding","Hotels","February",2,9,0,3,13940,1039384,171,1350
110314.274742268,"Region1","holding","Hotels","March",2,10,0,3,12702,1448190,119,1261
345097.742206417,"Region1","holding","Hotels","April",2,15,1,4,18351,1023850,174,1959
357595.779886469,"Region1","holding","Hotels","May",1,6,0,4,17895,1726937,147,1277
282722.076866776,"Region1","holding","Hotels","June",1,6,0,3,12545,1922365,120,1499
229807.263868861,"Region1","holding","Hotels","July",1,4,0,2,17939,1114574,178,1620
296780.040301383,"Region1","holding","Hotels","August",2,7,0,4,14638,1507933,133,1698
319853.03920228,"Region1","holding","Hotels","September",0,0,0,0,19375,1009564,143,1237
107445.710944012,"Region1","holding","Hotels","October",0,0,0,5,18289,1892389,193,1412
320887.096226215,"Region1","holding","Hotels","November",1,3,0,0,10681,1467682,128,1035
274970.051436685,"Region1","holding","Restaurants","January",2,14,0,3,16957,1796231,174,1122
331438.49207554,"Region1","holding","Restaurants","February",2,13,0,3,18688,1429703,152,1192
191243.286523968,"Region1","holding","Restaurants","March",1,7,1,4,11864,1702289,110,1701
300237.432867289,"Region1","holding","Restaurants","April",1,7,0,0,16217,1352078,147,1534
309367.608651519,"Region1","holding","Restaurants","May",1,3,0,0,14975,1818713,103,1742
244794.22303848,"Region1","holding","Restaurants","June",1,7,0,0,16173,1989630,136,1831
118529.909453355,"Region1","holding","Restaurants","July",0,0,1,4,18400,1292919,198,1332
292502.479208633,"Region1","holding","Restaurants","August",0,0,0,5,18317,1035044,174,1806
144310.795958154,"Region1","holding","Restaurants","September",1,7,0,3,17922,1717727,146,1342
222388.657834381,"Region1","holding","Restaurants","October",2,7,0,1,12279,1077798,163,1574
371829.272178002,"Region1","holding","Restaurants","November",1,8,0,4,14089,1698083,195,1518
138976.935413666,"Region1","holding","Airline","January",1,8,0,0,15989,1880871,184,1573
252325.12827497,"Region1","holding","Airline","February",1,4,0,4,13672,1412585,124,1543
396298.386715353,"Region1","holding","Airline","March",2,12,1,0,17406,1099401,191,1226
332789.289066568,"Region1","holding","Airline","April",0,0,0,0,18336,1620541,146,1042
394210.070744157,"Region1","holding","Airline","May",1,4,0,4,15295,1881969,113,1907
186934.277648106,"Region1","holding","Airline","June",2,11,0,2,14563,1012473,116,1488
267419.984959997,"Region1","holding","Airline","July",1,4,0,0,16250,1472544,112,1398
118912.96801623,"Region1","holding","Airline","August",2,11,0,4,10600,1310715,185,1267
204153.504571877,"Region1","holding","Airline","September",0,0,0,4,14269,1365742,138,1354
179026.593919843,"Region1","holding","Airline","October",1,3,0,0,12420,1750249,131,1569
155166.649981402,"Region1","holding","Airline","November",1,4,0,2,10755,1111579,172,1501
122058.247355744,"Region1","holding","Hardware Store","January",1,7,0,2,14225,1365562,147,1605
237828.18026375,"Region1","holding","Hardware Store","February",1,6,1,2,16322,1962355,151,1703
318821.457703598,"Region1","holding","Hardware Store","March",0,0,0,4,18640,1567388,191,1939
281816.881545819,"Region1","holding","Hardware Store","April",1,6,0,5,11890,1241328,134,1534
355952.07135193,"Region1","holding","Hardware Store","May",2,12,0,0,14282,1405630,162,1933
277449.167636223,"Region1","holding","Hardware Store","June",1,6,0,0,19372,1523004,155,1299
365599.881624803,"Region1","holding","Hardware Store","July",1,6,0,4,13620,1185507,111,1757
240786.115196534,"Region1","holding","Hardware Store","August",2,8,1,2,13072,1830638,106,1507
371226.417832077,"Region1","holding","Hardware Store","September",0,0,0,1,13447,1145250,136,1242
261185.628687963,"Region1","holding","Hardware Store","October",1,5,0,0,14089,1829564,100,1986
175564.657733776,"Region1","holding","Hardware Store","November",1,4,0,0,19557,1097080,116,1310
284162.098309025,"Region1","holding","Computer Store","January",2,11,0,0,17072,1091551,136,1721
184208.163106814,"Region1","holding","Computer Store","February",0,0,0,5,11966,1540029,135,1970
267152.988025919,"Region1","holding","Computer Store","March",1,8,0,0,11100,1607632,151,1781
144690.541294403,"Region1","holding","Computer Store","April",1,5,0,0,11665,1355522,189,1964
289480.541460216,"Region1","holding","Computer Store","May",1,7,0,3,16298,1738344,139,1875
147737.878304906,"Region1","holding","Computer Store","June",0,0,0,1,16262,1816299,145,1176
231276.903045364,"Region1","holding","Computer Store","July",2,15,0,4,15635,1217106,152,1459
373130.620829761,"Region1","holding","Computer Store","August",1,5,0,5,10815,1470701,176,1615
198495.414620265,"Region1","holding","Computer Store","September",0,0,0,0,10914,1214853,128,1297
257805.142248981,"Region1","holding","Computer Store","October",2,8,0,1,10178,1920563,186,1617
199472.364760004,"Region1","holding","Computer Store","November",1,5,1,3,11830,1853818,157,1322
200318.763265386,"Region1","holding","Gaming Zone","January",0,0,0,4,16407,1175591,152,1667
321402.966952883,"Region1","holding","Gaming Zone","February",2,15,0,2,13771,1607206,106,1551
161836.582189426,"Region1","holding","Gaming Zone","March",0,0,0,2,14677,1480571,126,1894
351787.209068425,"Region1","holding","Gaming Zone","April",0,0,0,0,13998,1706147,178,1665
234896.667185239,"Region1","holding","Gaming Zone","May",1,6,0,4,14333,1526181,113,1136
262523.075472564,"Region1","holding","Gaming Zone","June",2,12,0,0,16239,1631935,150,1669
340718.263667077,"Region1","holding","Gaming Zone","July",0,0,0,0,15918,1342500,196,1199
309430.202748626,"Region1","holding","Gaming Zone","August",2,8,0,0,18795,1103679,140,1309
315030.298032798,"Region1","holding","Gaming Zone","September",2,8,0,0,15986,1448537,178,1792
328893.405059353,"Region1","holding","Gaming Zone","October",2,6,1,2,10878,1614599,198,1646
155786.131788045,"Region1","holding","Gaming Zone","November",2,8,0,3,17443,1474093,111,1500
315113.767189905,"Region1","holding","Super MArket","January",2,9,0,0,10665,1650651,112,1492
291360.411792994,"Region1","holding","Super MArket","February",0,0,1,0,12967,1925733,167,1325
280793.610704131,"Region1","holding","Super MArket","March",0,0,0,3,13153,1446080,144,1443
323019.035044126,"Region1","holding","Super MArket","April",1,6,0,2,16080,1355162,117,1082
308221.958600916,"Region1","holding","Super MArket","May",0,0,0,0,15091,1364246,150,1087
240984.697430395,"Region1","holding","Super MArket","June",0,0,1,2,10174,1758901,174,1618
223538.75413537,"Region1","holding","Super MArket","July",1,4,0,0,19452,1155103,135,1548
289054.41542156,"Region1","holding","Super MArket","August",2,7,0,0,12599,1102549,188,1968
129362.444183789,"Region1","holding","Super MArket","September",1,7,0,0,15463,1210820,100,1965
197956.542903557,"Region1","holding","Super MArket","October",1,5,0,5,15650,1381759,114,1952
211884.221178479,"Region1","holding","Super MArket","November",0,0,0,2,15459,1091192,143,1748
343704.646639526,"Region1","holding","Fast Food Centre","January",0,0,1,4,18070,1740361,156,1900
269891.6812893,"Region1","holding","Fast Food Centre","February",1,6,0,0,17446,1331659,128,1785
237633.290258236,"Region1","holding","Fast Food Centre","March",1,5,0,2,14425,1735703,140,1727
255582.839320414,"Region1","holding","Fast Food Centre","April",0,0,0,1,10905,1732775,187,1741
272324.81953688,"Region1","holding","Fast Food Centre","May",1,5,0,1,13005,1763341,133,1434
244270.778074861,"Region1","holding","Fast Food Centre","June",0,0,0,1,11946,1931174,166,1177
152912.429044954,"Region1","holding","Fast Food Centre","July",1,5,0,0,12931,1863748,135,1566
231155.849713832,"Region1","holding","Fast Food Centre","August",1,8,0,2,12030,1736393,105,1061
377940.297196619,"Region1","holding","Fast Food Centre","September",0,0,0,5,14536,1216881,117,1368
163861.362147145,"Region1","holding","Fast Food Centre","October",2,10,0,0,14257,1358340,196,1126
342421.77749984,"Region1","holding","Fast Food Centre","November",2,13,1,3,16692,1098927,197,1873
320865.313545801,"Region2","retail","Retail Store","January",0,0,0,2,19009,1746494,154,1527
317884.293594398,"Region2","retail","Retail Store","February",0,0,0,0,14923,1512156,139,1593
202485.853619874,"Region2","retail","Retail Store","March",2,12,0,0,11613,1321528,186,1610
192746.630101465,"Region2","retail","Retail Store","April",1,4,0,0,11111,1110085,197,1046
341824.835957959,"Region2","retail","Retail Store","May",0,0,0,5,14814,1045559,130,1535
118123.808200471,"Region2","retail","Retail Store","June",1,7,0,0,15932,1901954,161,1656
108440.738962963,"Region2","retail","Retail Store","July",1,6,0,0,18640,1818728,141,1173
235385.925020091,"Region2","retail","Retail Store","August",1,6,0,0,14936,1404239,111,1294
393691.937602125,"Region2","retail","Retail Store","September",2,11,0,3,19369,1836414,155,1905
310830.873460509,"Region2","retail","Retail Store","October",1,7,0,0,14304,1432535,199,1756
284231.377881952,"Region2","retail","Retail Store","November",2,12,0,0,14157,1895591,179,1365
373518.114467151,"Region2","retail","Kirana Store","January",1,3,0,4,11661,1717821,149,1995
103341.362159699,"Region2","retail","Kirana Store","February",0,0,0,0,14560,1652401,177,1012
217922.477656975,"Region2","retail","Kirana Store","March",1,6,1,1,13289,1738504,160,1692
117936.669220217,"Region2","retail","Kirana Store","April",0,0,0,1,14175,1780692,180,1048
359813.174372539,"Region2","retail","Kirana Store","May",0,0,0,5,18523,1186385,125,1088
198071.756423451,"Region2","retail","Kirana Store","June",1,6,0,0,10237,1617547,186,1730
364330.728282221,"Region2","retail","Kirana Store","July",1,3,0,0,15142,1658425,161,1238
261485.115066171,"Region2","retail","Kirana Store","August",1,4,0,0,13216,1454954,150,1564
202616.896363907,"Region2","retail","Kirana Store","September",2,12,0,0,14199,1491969,103,1405
164927.118131891,"Region2","retail","Kirana Store","October",1,3,0,1,12610,1238170,143,1518
249829.350109212,"Region2","retail","Kirana Store","November",1,4,1,2,12637,1688904,145,1128
146289.363130927,"Region2","retail","Hotels","January",2,9,0,1,13994,1932059,167,1916
266914.548235945,"Region2","retail","Hotels","February",0,0,1,4,19297,1399358,117,1934
224176.476011053,"Region2","retail","Hotels","March",2,8,1,0,17451,1276730,181,1713
383898.757677525,"Region2","retail","Hotels","April",0,0,0,0,19083,1015353,105,1026
138491.12931639,"Region2","retail","Hotels","May",0,0,0,0,12147,1830230,194,1905
360572.912171483,"Region2","retail","Hotels","June",0,0,1,0,17096,1557128,151,1350
126689.542923123,"Region2","retail","Hotels","July",2,15,1,0,14991,1976460,158,1390
359496.157453395,"Region2","retail","Hotels","August",2,9,0,1,13209,1704720,149,1300
297174.317343161,"Region2","retail","Hotels","September",2,14,0,0,19280,1169500,135,1515
167616.674234159,"Region2","retail","Hotels","October",2,14,1,0,15930,1686882,154,1893
215946.243237704,"Region2","retail","Hotels","November",1,6,0,0,16925,1311272,197,1877
237613.192619756,"Region2","retail","Restaurants","January",1,6,0,3,18848,1230474,129,1223
353319.957549684,"Region2","retail","Restaurants","February",0,0,0,5,19382,1284636,168,1976
379751.839581877,"Region2","retail","Restaurants","March",2,10,0,5,15990,1283059,172,1627
358484.686166048,"Region2","retail","Restaurants","April",1,3,0,1,10186,1521779,177,1173
329003.325896338,"Region2","retail","Restaurants","May",0,0,0,0,19095,1964878,108,1092
215827.503870241,"Region2","retail","Restaurants","June",1,6,0,0,18028,1624043,104,1170
209145.214851014,"Region2","retail","Restaurants","July",0,0,0,4,15542,1675995,150,1947
287237.894535065,"Region2","retail","Restaurants","August",0,0,0,2,11691,1283939,180,1061
233206.53506089,"Region2","retail","Restaurants","September",1,5,1,1,18535,1623482,105,1469
201832.309993915,"Region2","retail","Restaurants","October",0,0,0,4,18035,1072230,125,1349
172774.914978072,"Region2","retail","Restaurants","November",0,0,0,0,19787,1157123,118,1492
267715.808027424,"Region2","retail","Airline","January",1,4,0,1,15792,1447542,115,1565
360640.358971432,"Region2","retail","Airline","February",2,9,1,1,12897,1378883,112,1792
231841.795681976,"Region2","retail","Airline","March",1,5,0,0,18570,1730132,133,1587
395040.573459119,"Region2","retail","Airline","April",2,16,0,0,18167,1765519,189,1056
313892.22543221,"Region2","retail","Airline","May",0,0,1,0,15840,1588290,133,1785
270944.552961737,"Region2","retail","Airline","June",1,7,0,0,12607,1413657,137,1531
380455.954163335,"Region2","retail","Airline","July",1,8,0,1,13683,1224579,174,1090
205454.023764469,"Region2","retail","Airline","August",1,7,1,0,18012,1853876,132,1087
206355.620664544,"Region2","retail","Airline","September",0,0,1,3,12340,1302629,182,1842
392065.909435041,"Region2","retail","Airline","October",1,6,0,0,16804,1360334,168,1951
376500.231050886,"Region2","retail","Airline","November",0,0,0,0,12409,1687016,107,1074
384118.948457763,"Region2","retail","Hardware Store","January",0,0,0,0,15827,1503648,114,1803
325753.410160542,"Region2","retail","Hardware Store","February",1,5,0,0,17320,1841562,141,1264
261938.194301911,"Region2","retail","Hardware Store","March",1,6,1,2,14099,1126326,172,1993
280644.364561886,"Region2","retail","Hardware Store","April",0,0,0,1,14674,1068902,113,1082
285018.962668255,"Region2","retail","Hardware Store","May",0,0,0,0,11398,1690891,196,1176
259194.489568472,"Region2","retail","Hardware Store","June",1,3,0,3,12386,1802986,149,1252
195203.002146445,"Region2","retail","Hardware Store","July",0,0,1,0,14663,1472846,173,1671
383518.408075906,"Region2","retail","Hardware Store","August",1,4,1,0,10648,1608496,163,1464
242387.765226886,"Region2","retail","Hardware Store","September",1,8,0,0,12587,1098617,110,1580
125944.850430824,"Region2","retail","Hardware Store","October",2,13,0,2,14872,1683886,169,1983
173270.741570741,"Region2","retail","Hardware Store","November",0,0,0,4,15176,1627582,183,1252
355833.108606748,"Region2","retail","Computer Store","January",0,0,1,0,16496,1634708,114,1480
366209.336998872,"Region2","retail","Computer Store","February",1,6,0,1,14166,1180986,102,1957
314607.823011465,"Region2","retail","Computer Store","March",0,0,0,0,13618,1249330,155,1292
364982.922561467,"Region2","retail","Computer Store","April",2,12,0,0,13912,1884586,106,1392
128766.724513844,"Region2","retail","Computer Store","May",0,0,0,0,10705,1555973,145,1888
306478.427955881,"Region2","retail","Computer Store","June",1,4,0,0,17598,1808588,190,1039
178966.960730031,"Region2","retail","Computer Store","July",1,4,1,1,13079,1833216,107,1567
311182.59599898,"Region2","retail","Computer Store","August",1,4,0,0,11302,1197432,184,1276
394209.271250293,"Region2","retail","Computer Store","September",1,3,0,5,17603,1647361,141,1949
234798.959759064,"Region2","retail","Computer Store","October",2,7,0,3,17965,1887514,120,1447
135655.185300857,"Region2","retail","Computer Store","November",1,8,0,3,14292,1120805,105,1617
324940.981552936,"Region2","retail","Gaming Zone","January",1,4,0,2,15964,1239894,150,1626
360907.706059515,"Region2","retail","Gaming Zone","February",0,0,0,0,10531,1459280,189,1972
140481.313457713,"Region2","retail","Gaming Zone","March",1,6,0,0,17285,1362396,130,1273
196150.781167671,"Region2","retail","Gaming Zone","April",1,4,0,0,12383,1286487,129,1135
293232.633708976,"Region2","retail","Gaming Zone","May",2,11,0,0,15303,1238102,186,1383
347566.175530665,"Region2","retail","Gaming Zone","June",1,4,0,0,14312,1060411,159,1763
312792.636104859,"Region2","retail","Gaming Zone","July",1,4,0,3,12341,1867434,151,1018
306621.172046289,"Region2","retail","Gaming Zone","August",1,5,0,5,17345,1966171,144,1884
299371.418193914,"Region2","retail","Gaming Zone","September",2,15,0,1,13816,1891764,102,1371
229088.886221871,"Region2","retail","Gaming Zone","October",1,3,0,1,15583,1282749,106,1983
378655.090043321,"Region2","retail","Gaming Zone","November",2,14,1,4,18365,1643692,123,1202
246802.143496461,"Region2","retail","Super MArket","January",2,14,0,0,17028,1070639,127,1333
299628.659780137,"Region2","retail","Super MArket","February",0,0,0,0,11980,1027120,110,1098
341397.168207914,"Region2","retail","Super MArket","March",0,0,0,5,14211,1716199,179,1812
162354.99989707,"Region2","retail","Super MArket","April",0,0,1,0,14019,1767517,103,1682
282837.589271367,"Region2","retail","Super MArket","May",2,10,0,0,16605,1494318,195,1479
124303.674697876,"Region2","retail","Super MArket","June",1,3,0,0,12803,1789897,103,1521
170852.823951282,"Region2","retail","Super MArket","July",1,4,0,0,10102,1346305,106,1499
132389.436429366,"Region2","retail","Super MArket","August",2,8,0,4,18682,1027333,134,1620
178432.105202228,"Region2","retail","Super MArket","September",0,0,0,0,12531,1469122,138,1330
280641.575134359,"Region2","retail","Super MArket","October",2,9,0,0,14856,1681494,158,1306
276900.891214609,"Region2","retail","Super MArket","November",0,0,0,0,16222,1810009,147,1351
